id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,ocean,,,,,,,
10984625,2176c509-0113-4da2-854c-9665008897c8,30-03-05,30-03-05,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-04-09 07:37:50 UTC,2018-06-15 02:27:43 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10984625,https://inaturalist-open-data.s3.amazonaws.com/photos/15471246/medium.jpg,,"CC-by-sa 3.0, Sea Fish Atlas, SeaKeys","<h3>Zebra at Kalk Bay Harbour Wall</h3><br>Zebra at bottom, others are Hottentot.",2,0,FALSE,,Kalk Bay Harbour Wall: Outside the eastern breakwater of the Kalk Bay Harbour up to about 100m to the east.,-34.12917,18.4505,1,,,,1,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,,,,,
10985100,16a8cc71-95cb-445d-b05d-e6a9ad5c2379,06-05-06,06-05-06,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-04-09 10:46:06 UTC,2018-06-15 02:29:00 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10985100,https://inaturalist-open-data.s3.amazonaws.com/photos/15472267/medium.jpg,,"SeaKeys, Sea Fish Atlas, CC-by-sa 3.0",<h3>Zebra at Long Beach</h3><br>,5,0,FALSE,,"Long Beach, Simons Town: Approximate location of the barge wreck.The site extends over 200m radius from this point.",-34.187,18.427,110,,,,110,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,,,,,
10988578,bc0743c2-3c23-4d9c-8886-d9340a545916,04-11-06,04-11-06,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-04-11 13:12:06 UTC,2018-06-15 02:32:25 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10988578,https://inaturalist-open-data.s3.amazonaws.com/photos/15478956/medium.jpg,,"SeaKeys, Sea Fish Atlas","<h3>Zebra at Phoenix Shoal</h3><br>Mixed shoal with Zebra, Blacktail and Hottentot.",3,0,FALSE,,Phoenix Shoal,-34.1898,18.4483,1,,,,1,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,,,,,
10990094,fe1d23ce-7861-4721-8757-4b62bb86ae52,23-07-05,23-07-05,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-04-12 04:34:29 UTC,2018-06-15 02:36:43 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/10990094,https://inaturalist-open-data.s3.amazonaws.com/photos/15481447/medium.jpg,,"CC-by-sa 3.0, Sea Fish Atlas, SeaKeys",<h3>Zebra at Pie Rock</h3><br>,1,0,FALSE,,Pie Rock Reef,-34.2398,18.4844,1,,,,1,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,,,,,
11003625,b4afcf6e-158d-4fb6-a724-ab5a09ba7f13,04-08-14,04-08-14,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-08-11 16:59:54 UTC,2018-06-15 02:44:29 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/11003625,https://inaturalist-open-data.s3.amazonaws.com/photos/15506863/medium.jpg,,"SeaKeys, Sea Fish Atlas, CC-by-sa 3.0",<h3>Zebra at Cowrie reef</h3><br>,3,0,FALSE,,"Cowrie reef, Scottburgh",-30.304,30.781,110,,,,110,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
11012482,95752d0a-501e-4bae-9575-e25089878826,11-05-05,11-05-05,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2015-02-22 14:09:21 UTC,2018-04-16 15:42:40 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/11012482,https://inaturalist-open-data.s3.amazonaws.com/photos/15524650/medium.jpg,,"SeaKeys, Sea Fish Atlas, CC-by-sa 3.0",<h3>Zebra at Glencairn quarry</h3><br>lower centre,2,0,FALSE,,Glencairn quarry,-34.1565,18.4402,1,,,,1,,open,FALSE,,,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,,,,,
11015817,dbd9e5db-f3c1-4c36-af5b-e41e3dd7be50,02-08-14,02-08-14,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-08-26 09:02:04 UTC,2018-04-16 17:07:44 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/11015817,https://inaturalist-open-data.s3.amazonaws.com/photos/15531350/medium.jpg,,"SeaKeys, Sea Fish Atlas, CC-by-sa 3.0",<h3>Zebra seabream at Nev^s ledge</h3><br>,2,0,FALSE,,"Nevs Ledge, Durban",-29.84475,31.10137,1,,,,1,,open,FALSE,,,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
11018241,8eeac6d5-788a-4065-a3a8-d200b75c7f90,12-06-15,12-06-15,,Africa/Johannesburg,773535,rov_ryan,,2015-07-03 06:38:43 UTC,2018-06-06 11:28:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11018241,https://inaturalist-open-data.s3.amazonaws.com/photos/19237952/medium.jpg,,"SeaKeys, Sea Fish Atlas",<h3>Zebra</h3><br>,2,0,FALSE,,,-29.5590412,31.20983853,1,,,,29483,obscured,,TRUE,,,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
11020203,1e4c2c2f-b774-4aca-995c-fba8bee5875e,03-08-14,03-08-14,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2014-08-29 08:27:01 UTC,2018-06-15 02:44:24 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/11020203,https://inaturalist-open-data.s3.amazonaws.com/photos/15539301/medium.jpg,,"CC-by-sa 3.0, SeaKeys, Sea Fish Atlas",<h3>Zebra at Howard^s Castle</h3><br>,4,0,FALSE,,"Howards Castle, Aliwal shoal",-30.282,30.808,110,,,,110,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
11023815,056782ad-e5d1-4831-8df7-19ad0f7d4d27,14-05-12,14-05-12,,Africa/Johannesburg,773544,keryn_vdw,,2015-07-09 06:03:22 UTC,2018-04-16 20:25:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11023815,https://inaturalist-open-data.s3.amazonaws.com/photos/15546193/medium.jpg,,"Sea Fish Atlas, SeaKeys",<h3>zebra</h3><br>,3,0,FALSE,,"Eastern Cape, ZA",-33.71631762,26.94069494,1,,,,28930,obscured,open,TRUE,,,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
11028158,50910a5e-e15a-4a86-98ee-005f90dbc084,06-06-04,06-06-04,,Africa/Johannesburg,678889,pbsouthwood,Peter Southwood,2015-03-09 17:25:18 UTC,2018-06-15 02:38:34 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/11028158,https://inaturalist-open-data.s3.amazonaws.com/photos/15553972/medium.jpg,,"SeaKeys, Sea Fish Atlas, CC-by-sa 3.0",<h3>Zebra at Pie Rock</h3><br>,2,0,FALSE,,Pie Rock,-34.2398,18.4844,1,,,,1,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,,,,,
